id_cliente,qtde_compras,valor_compras,periodo_consumo
100260.0,2,33.23,2024-12
100132.0,2,41.72,2024-12
100178.0,2,45.78,2024-12
100225.0,2,29.44,2024-12
102125.0,2,36.3,2024-12
101480.0,2,31.23,2024-12
101157.0,2,42.09,2024-12
101144.0,2,37.47,2024-12
100218.0,2,38.69,2024-12
101167.0,2,42.2,2024-12
101291.0,2,33.57,2024-12
100413.0,2,44.72,2024-12
100834.0,2,36.51,2024-12
102329.0,2,28.45,2024-12
101457.0,2,40.01,2024-12
102144.0,2,42.1,2024-12
101763.0,2,31.86,2024-12
102294.0,2,43.47,2024-12
100586.0,2,44.52,2024-12
102494.0,2,31.01,2024-12
101127.0,2,46.19,2024-12
100830.0,2,28.08,2024-12
100398.0,2,29.4,2024-12
101545.0,2,29.02,2024-12
102223.0,2,44.26,2024-12
101485.0,2,39.11,2024-12
100582.0,2,28.33,2024-12
101586.0,1,17.26,2024-12
100855.0,1,19.14,2024-12
100985.0,1,13.43,2024-12
101329.0,1,22.01,2024-12
101897.0,1,21.16,2024-12
100102.0,1,17.96,2024-12
102344.0,1,22.92,2024-12
101769.0,1,17.02,2024-12
100522.0,1,23.1,2024-12
102438.0,1,19.7,2024-12
101274.0,1,19.35,2024-12
100306.0,1,14.31,2024-12
101527.0,1,22.0,2024-12
101787.0,1,17.12,2024-12
101312.0,1,14.27,2024-12
101380.0,1,12.67,2024-12
100479.0,1,18.54,2024-12
101235.0,1,18.19,2024-12
102025.0,1,20.26,2024-12
100360.0,1,22.09,2024-12
101730.0,1,13.38,2024-12
101381.0,1,20.39,2024-12
100587.0,1,14.54,2024-12
101896.0,1,21.75,2024-12
102127.0,1,21.33,2024-12
101606.0,1,18.34,2024-12
101243.0,1,20.16,2024-12
101575.0,1,15.91,2024-12
100523.0,1,17.59,2024-12
100688.0,1,21.35,2024-12
101557.0,1,17.46,2024-12
100020.0,1,16.37,2024-12
101970.0,1,17.84,2024-12
101366.0,1,21.43,2024-12
100384.0,1,16.13,2024-12
102231.0,1,14.4,2024-12
101477.0,1,20.18,2024-12
100160.0,1,21.4,2024-12
100784.0,1,0.91,2024-12
100087.0,1,15.11,2024-12
